,ForecastedSales,LowerCI,UpperCI
2026-03-01,73093.14285714286,58474.514285714286,87711.77142857142
2026-04-01,73093.14285714286,58474.514285714286,87711.77142857142
2026-05-01,73093.14285714286,58474.514285714286,87711.77142857142
2026-06-01,73093.14285714286,58474.514285714286,87711.77142857142
2026-07-01,73093.14285714286,58474.514285714286,87711.77142857142
2026-08-01,73093.14285714286,58474.514285714286,87711.77142857142
2026-09-01,73093.14285714286,58474.514285714286,87711.77142857142
2026-10-01,73093.14285714286,58474.514285714286,87711.77142857142
2026-11-01,73093.14285714286,58474.514285714286,87711.77142857142
2026-12-01,73093.14285714286,58474.514285714286,87711.77142857142
2027-01-01,73093.14285714286,58474.514285714286,87711.77142857142
2027-02-01,73093.14285714286,58474.514285714286,87711.77142857142
